nurse_name,shift_date,shift_start,shift_end
Ana Ribeiro,2026-05-04,07:00,19:00
Ana Ribeiro,2026-05-05,07:00,19:00
Ana Ribeiro,2026-05-06,19:00,07:00
Ana Ribeiro,2026-05-07,19:00,07:00
Ana Ribeiro,2026-05-08,07:00,19:00
Bruno Santos,2026-05-04,19:00,07:00
Bruno Santos,2026-05-05,07:00,19:00
Bruno Santos,2026-05-06,19:00,07:00
Carla Dias,2026-05-04,07:00,19:00
Carla Dias,2026-05-05,19:00,07:00
Carla Dias,2026-05-06,19:00,07:00
Carla Dias,2026-05-07,07:00,19:00
Diego Lima,2026-05-04,07:00,19:00
Diego Lima,2026-05-05,07:00,19:00
Diego Lima,2026-05-06,07:00,19:00
Elena Costa,2026-05-04,19:00,07:00
Elena Costa,2026-05-05,19:00,07:00
Elena Costa,2026-05-06,19:00,07:00
Elena Costa,2026-05-07,07:00,19:00
Fernanda Vila,2026-05-04,07:00,19:00
Fernanda Vila,2026-05-05,19:00,07:00
Fernanda Vila,2026-05-06,07:00,19:00
Fernanda Vila,2026-05-08,07:00,19:00
Gustavo Reis,2026-05-04,07:00,19:00
Gustavo Reis,2026-05-05,07:00,19:00
Gustavo Reis,2026-05-06,07:00,19:00
Gustavo Reis,2026-05-07,07:00,19:00
Gustavo Reis,2026-05-08,07:00,19:00
